swing_id,direction,trend,swing_pips,bars,swing_trend_aligned,prior_direction,prior_swing_pips,prior_bars,current_end_retracement_pct,current_end_fib_zone,reversal_pct,reversal_fib_zone
50,UP,UP,44.500000000000654,524,True,DOWN,14.600000000000168,210.0,304.7945205479461,261.8-361.8,304.7945205479461,261.8-361.8
51,DOWN,DOWN,107.50000000000036,1087,True,UP,44.500000000000654,524.0,241.5730337078625,200.0-261.8,241.5730337078625,200-261.8
55,DOWN,DOWN,74.19999999999982,864,True,UP,27.199999999998337,259.0,272.79411764707487,261.8-361.8,272.79411764707487,261.8-361.8
57,DOWN,DOWN,29.399999999999427,108,True,UP,28.500000000000192,88.0,103.1578947368394,100.0-127.2,103.1578947368394,100-127.2
60,UP,UP,49.70000000000141,750,True,DOWN,46.39999999999978,197.0,107.1120689655208,100.0-127.2,107.1120689655208,100-127.2
61,DOWN,DOWN,106.00000000000163,822,True,UP,49.70000000000141,750.0,213.2796780684077,200.0-261.8,213.2796780684077,200-261.8
64,UP,UP,28.599999999998627,95,True,DOWN,16.899999999999693,64.0,169.23076923076417,161.8-200.0,169.23076923076417,161.8-200
68,UP,UP,37.8999999999996,482,True,DOWN,38.69999999999818,404.0,97.93281653747128,78.6-100.0,97.93281653747128,78.6-100
69,DOWN,DOWN,74.80000000000153,1081,True,UP,37.8999999999996,482.0,197.3614775725655,161.8-200.0,197.3614775725655,161.8-200
72,UP,UP,102.99999999999976,1498,True,DOWN,51.20000000000013,123.0,201.17187499999895,200.0-261.8,201.17187499999895,200-261.8
74,UP,UP,65.10000000000016,763,True,DOWN,35.00000000000058,254.0,185.99999999999736,161.8-200.0,185.99999999999736,161.8-200
76,UP,UP,85.39999999999992,1319,True,DOWN,32.49999999999975,366.0,262.76923076923254,261.8-361.8,262.76923076923254,261.8-361.8
77,DOWN,DOWN,78.70000000000044,902,True,UP,85.39999999999992,1319.0,92.15456674473128,78.6-100.0,92.15456674473128,78.6-100
79,DOWN,DOWN,37.0999999999988,762,True,UP,25.69999999999961,515.0,144.357976653694,127.2-161.8,144.357976653694,127.2-161.8
81,DOWN,DOWN,57.49999999999922,839,True,UP,16.799999999999038,387.0,342.2619047619197,261.8-361.8,342.2619047619197,261.8-361.8
83,DOWN,DOWN,38.89999999999949,429,True,UP,18.099999999998676,880.0,214.91712707183612,200.0-261.8,214.91712707183612,200-261.8
87,DOWN,DOWN,20.7999999999986,179,True,UP,15.600000000000058,96.0,133.33333333332385,127.2-161.8,133.33333333332385,127.2-161.8
88,UP,UP,36.19999999999956,796,True,DOWN,20.7999999999986,179.0,174.03846153847118,161.8-200.0,174.03846153847118,161.8-200
